"bloc_r4a";"annee_univ_source";"formation";"type_formation";"specialite";"niveau";"semestre";"composante_parcours";"unite_enseignement";"ordre";"matiere_ar";"matiere_fr_source";"cm";"td";"tp";"mode_pedagogique";"modalite";"coefficient";"credits";"source_document";"page_source";"statut_source";"statut_2025_2026";"statut_2026_2027";"variante_reperee";"observation";"decision_r4a6_2026_2027";"statut_preparation_reelle"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S1";"";"أساسية";"1";"النظام القانوني للمرفق العام";"";"3h00";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"14";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S1";"";"أساسية";"2";"العقود الإدارية";"";"3h00";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"14";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S1";"";"أساسية";"3";"القضاء الإداري (الإلغاء، القضاء الكامل)";"";"3h00";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"14";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S1";"";"منهجية";"4";"منهجية تحرير الوثائق القانونية والقضائية (تكيف حسب كل تخصص)";"";"1h30";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"14";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S1";"";"استكشافية";"5";"الأملاك الوطنية وتهيئة الإقليم";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"14";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S1";"";"استكشافية";"6";"التسيير العمومي الحديث";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"14";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S1";"";"أفقية";"7";"لغة أجنبية (الإنجليزية) 1";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"14";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S1";"";"أفقية";"8";"البرمجة";"";"1h30";"";"";"CM";"";"";"";"القانون الاداري.pdf";"14";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S2";"";"أساسية";"1";"سلطات وآليات الضبط الإداري";"";"3h00";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"15";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S2";"";"أساسية";"2";"قانون الصفقات العمومية";"";"3h00";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"15";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S2";"";"أساسية";"3";"القضاء الإداري الاستعجالي";"";"3h00";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"15";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5A";"2026-2027";"Master académique";"";"Droit administratif";"M1";"S2";"";"منهجية";"4";"أخلاقيات البحث العلمي";"";"1h30";"1h30";"";"CM + TD";"";"";"";"القانون الاداري.pdf";"15";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
