"niveau_code";"niveau_libelle";"statut_2026_2027";"origine"
"DL-L3";"Licence double — troisième année";"VALIDE_2026_2027";"CONFIRMATION_HUMAINE_2026_2027"
"L3-PRIV";"L3 Droit privé";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"L3-PUB";"L3 Droit public";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M1-ADMIN";"M1 Droit administratif";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M1-AFF";"";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M1-CONT";"";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M1-GOUV";"M1 Gouvernance et lutte contre la corruption";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M1-IMMO";"";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M1-INT";"M1 Droit international";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M1-PEN";"M1 Droit pénal";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M2-ADMIN";"Master académique | Droit administratif | M2";"VALIDE_2026_2027";"SOURCE_OFFICIELLE + CONFIRMATION_HUMAINE"
"M2-AFF";"";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M2-CONT";"";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M2-GOUV";"M2 Gouvernance et lutte contre la corruption";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M2-IMMO";"";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M2-INT";"M2 Droit international";"VALIDE_2026_2027";"SECTIONS_GROUPES"
"M2-PEN";"M2 Droit pénal";"VALIDE_2026_2027";"SECTIONS_GROUPES"
