code_canonique;statut_existence_2026_2027;source_fichier;source_feuille;statut_preparation_documentaire
A0;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
A1;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
A2;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
A3;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP1;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP2;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP3;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP4;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP5;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP6;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP7;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP8;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP9;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP10;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP11;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP12;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP13;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP14;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
