annee_universitaire;niveau_code;niveau_libelle;ouverture;section_code;section_statut;nombre_groupes;codes_groupes;groupe_debut;groupe_fin;regle_codification;decision_source;statut_decision;effectif_statut_source;source_G18B;statut_preparation_documentaire
2026-2027;L3-PRIV;L3 Droit privé;OUI;A;VALIDE_2026_2027;4;01|02|03|04;01;04;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;L3-PRIV;L3 Droit privé;OUI;B;VALIDE_2026_2027;5;05|06|07|08|09;05;09;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;L3-PUB;L3 Droit public;OUI;A;VALIDE_2026_2027;6;01|02|03|04|05|06;01;06;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;L3-PUB;L3 Droit public;OUI;B;VALIDE_2026_2027;6;07|08|09|10|11|12;07;12;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M1-ADMIN;M1 Droit administratif;OUI;A;VALIDE_2026_2027;4;01|02|03|04;01;04;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M1-AFF;;OUI;A;VALIDE_2026_2027;5;01|02|03|04|05;01;05;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M1-CONT;;OUI;A;VALIDE_2026_2027;1;01;01;01;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M1-GOUV;M1 Gouvernance et lutte contre la corruption;OUI;A;VALIDE_2026_2027;2;01|02;01;02;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M1-IMMO;;OUI;A;VALIDE_2026_2027;1;01;01;01;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M1-INT;M1 Droit international;OUI;A;VALIDE_2026_2027;2;01|02;01;02;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M1-PEN;M1 Droit pénal;OUI;A;VALIDE_2026_2027;4;01|02|03|04;01;04;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M2-AFF;;OUI;A;VALIDE_2026_2027;3;01|02|03;01;03;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M2-CONT;;OUI;A;VALIDE_2026_2027;2;01|02;01;02;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M2-GOUV;M2 Gouvernance et lutte contre la corruption;OUI;A;VALIDE_2026_2027;1;01;01;01;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M2-IMMO;;OUI;A;VALIDE_2026_2027;1;01;01;01;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M2-INT;M2 Droit international;OUI;A;VALIDE_2026_2027;1;01;01;01;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
2026-2027;M2-PEN;M2 Droit pénal;OUI;A;VALIDE_2026_2027;6;01|02|03|04|05|06;01;06;NUMEROTATION_CONTINUE_DANS_NIVEAU;DECISION_HUMAINE;VALIDE_2026_2027;A_CONFIRMER;PROD_REF_001G17_BILAN_GLOBAL_SECTIONS_GROUPES_2026_2027_20260911_221141.csv;CANDIDAT_CODIFICATION_SECTIONS_GROUPES
